date,close_price,ISIN,issue_date,coupon,maturity_date,selected
1/8/2024,99.73,CA135087M920,10/22/2021,0.750%,2/1/2024,0
1/9/2024,99.75,CA135087M920,10/22/2021,0.750%,2/1/2024,0
1/10/2024,99.75,CA135087M920,10/22/2021,0.750%,2/1/2024,0
1/11/2024,99.77,CA135087M920,10/22/2021,0.750%,2/1/2024,0
1/12/2024,99.8,CA135087M920,10/22/2021,0.750%,2/1/2024,0
1/15/2024,99.81,CA135087M920,10/22/2021,0.750%,2/1/2024,0
1/16/2024,99.82,CA135087M920,10/22/2021,0.750%,2/1/2024,0
1/17/2024,99.83,CA135087M920,10/22/2021,0.750%,2/1/2024,0
1/18/2024,99.852,CA135087M920,10/22/2021,0.750%,2/1/2024,0
1/19/2024,99.88,CA135087M920,10/22/2021,0.750%,2/1/2024,0
1/22/2024,99.89,CA135087M920,10/22/2021,0.750%,2/1/2024,0
1/8/2024,99.63,CA135087J546,10/5/2018,2.250%,3/1/2024,0
1/9/2024,99.64,CA135087J546,10/5/2018,2.250%,3/1/2024,0
1/10/2024,99.65,CA135087J546,10/5/2018,2.250%,3/1/2024,0
1/11/2024,99.661,CA135087J546,10/5/2018,2.250%,3/1/2024,0
1/12/2024,99.67,CA135087J546,10/5/2018,2.250%,3/1/2024,0
1/15/2024,99.687,CA135087J546,10/5/2018,2.250%,3/1/2024,0
1/16/2024,99.68,CA135087J546,10/5/2018,2.250%,3/1/2024,0
1/17/2024,99.683,CA135087J546,10/5/2018,2.250%,3/1/2024,0
1/18/2024,99.708,CA135087J546,10/5/2018,2.250%,3/1/2024,0
1/19/2024,99.72,CA135087J546,10/5/2018,2.250%,3/1/2024,0
1/22/2024,99.724,CA135087J546,10/5/2018,2.250%,3/1/2024,0
1/8/2024,98.988,CA135087L690,10/16/2020,0.250%,4/1/2024,0
1/9/2024,99.005,CA135087L690,10/16/2020,0.250%,4/1/2024,0
1/10/2024,99.019,CA135087L690,10/16/2020,0.250%,4/1/2024,0
1/11/2024,99.059,CA135087L690,10/16/2020,0.250%,4/1/2024,0
1/12/2024,99.076,CA135087L690,10/16/2020,0.250%,4/1/2024,0
1/15/2024,99.09,CA135087L690,10/16/2020,0.250%,4/1/2024,0
1/16/2024,99.084,CA135087L690,10/16/2020,0.250%,4/1/2024,0
1/17/2024,99.099,CA135087L690,10/16/2020,0.250%,4/1/2024,0
1/18/2024,99.137,CA135087L690,10/16/2020,0.250%,4/1/2024,0
1/19/2024,99.15,CA135087L690,10/16/2020,0.250%,4/1/2024,0
1/22/2024,99.163,CA135087L690,10/16/2020,0.250%,4/1/2024,0
1/8/2024,98.934,CA135087N423,2/22/2022,1.500%,5/1/2024,0
1/9/2024,98.942,CA135087N423,2/22/2022,1.500%,5/1/2024,0
1/10/2024,98.959,CA135087N423,2/22/2022,1.500%,5/1/2024,0
1/11/2024,98.983,CA135087N423,2/22/2022,1.500%,5/1/2024,0
1/12/2024,99.004,CA135087N423,2/22/2022,1.500%,5/1/2024,0
1/15/2024,99.02,CA135087N423,2/22/2022,1.500%,5/1/2024,0
1/16/2024,98.997,CA135087N423,2/22/2022,1.500%,5/1/2024,0
1/17/2024,99.01,CA135087N423,2/22/2022,1.500%,5/1/2024,0
1/18/2024,99.042,CA135087N423,2/22/2022,1.500%,5/1/2024,0
1/19/2024,99.049,CA135087N423,2/22/2022,1.500%,5/1/2024,0
1/22/2024,99.07,CA135087N423,2/22/2022,1.500%,5/1/2024,0
1/8/2024,99.037,CA135087B451,7/2/2013,2.500%,6/1/2024,1
1/9/2024,99.04,CA135087B451,7/2/2013,2.500%,6/1/2024,1
1/10/2024,99.053,CA135087B451,7/2/2013,2.500%,6/1/2024,1
1/11/2024,99.064,CA135087B451,7/2/2013,2.500%,6/1/2024,1
1/12/2024,99.09,CA135087B451,7/2/2013,2.500%,6/1/2024,1
1/15/2024,99.111,CA135087B451,7/2/2013,2.500%,6/1/2024,1
